id,venue_name,venue_url,venue_ptr_id,location,start_date,end_date,created_at,updated_at
2,ACL 2022 |  60th Annual Meeting of the Association for Computational Linguistics | Ireland,https://www.2022.aclweb.org/,2,Ireland,2023-12-22,2022-05-27,2023-04-12 14:50:17.346041+00:00,2023-12-12 14:50:17.346059+00:00
1,AI Stats,http://aistats.org/aistats2023/,1,Spain,2023-12-25,2023-04-27,2023-04-06 16:39:49.579492+00:00,2023-12-06 16:39:49.579518+00:00
